REFERENCIA;DESCRICAO;PRECO
13.419.004;Blusa M/ Malha;36,92
13.420.004;Blusa M/ Malha;21,89
13.421.004;Calça Legging Molecotto;27,57
13.421.044;Calça Legging Molecotto;56,09
13.421.124;Calça Legging Molecotto;49,59
13.422.044;Jaqueta Matelass ;70,3
13.423.004;Vestido Molecotton;23,2
13.424.004;Vestido Cotton;69,64
13.425.004;Vestido Cotton;56,09
13.425.044;Vestido Cotton;47,46
13.426.004;Vestido Cotton + Bolero Molecotton;57,4
13.426.044;Vestido Cotton + Bolero Molecotton;75,16
13.427.004;Blusa M/ Malha + Calça Legging Cotto;63,2
13.428.004;Blusa M/ Malha + Calça Legging Cotto;46,75
13.430.004;Blusa Cotton + Calça Legging Cotto;73,85
13.430.044;Blusa Cotton + Calça Legging Cotto;81,05